COADD_ID,COMPOUND_CODE,PROJECT_ID,LIBRARY_NAME,ASSAY_ID,ORGANISM,STRAIN,NASSAYS,INHIB_AVE,INHIB_STD,CONC,SMILES,DRVAL_TYPE,DRVAL_MEDIAN,DRVAL_UNIT,DMAX_AVE,MIC_OPERATOR,MW,logP,TPSA,HBD,HBA,RotBonds,Rings,ArRings,QED,MIC_VALUE_uM
CO-ADD:0227615,A0877/0041139,CO-ADD:PC0244,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,16.13,0.52,32 ug/mL,N(=C\c1cccc(F)c1O)/c2cc(C)c(cc2O)C,MIC,>32,ug/mL,6.85,>,259.28000000000003,3.6043400000000014,52.82000000000001,2,3,2,2,2,0.809417282594374,123.41869793273679
CO-ADD:0231316,A0969/0045283,CO-ADD:PC0249,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,6.84,3.57,32 ug/mL,C(=O)(Oc(cc1)ccc1\C=N\c(cc2)ccc2Br)\C=C\C(=O)Oc(cc3)ccc3\C=N\c(cc4)ccc4Br,MIC,>32,ug/mL,10.35,>,632.3080000000002,7.780000000000006,77.32,0,6,8,4,4,0.08609903664445445,50.608247879198096
CO-ADD:0166443,A0501/0023282,CO-ADD:PC0217,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,15.32,1.9,80 ug/mL,C(=O)(N\N=C\c1cc(Br)ccc1O)C(=O)NC(C)c2ccccc2,MIC,>32,uM,9.15,>,390.2370000000001,2.4822000000000006,90.78999999999999,3,4,4,2,2,0.42570594212587604,32.0
CO-ADD:0166253,A0494/0022904,CO-ADD:PC0217,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,4.33,4.05,80 ug/mL,C(CCc1ccccc1)(=O)Nc(cc2)ccc2I,MIC,>32,uM,1.65,>,351.187,3.8625000000000025,29.1,1,1,4,2,2,0.8330749015106333,32.0
CO-ADD:0215273,A0528/0024455,CO-ADD:PC0221,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,2.11,6.61,32 ug/mL,N1(c2cccc(c2)[N+](=O)[O-])C(=O)C(C3C1=O)C(c4ccccc4)C=CC3c5ccccc5,MIC,>32,ug/mL,-13.3,>,424.4560000000001,4.837800000000004,80.52,0,4,4,5,3,0.25982230397957695,75.39061763763499
CO-ADD:0166394,A0499/0023186,CO-ADD:PC0217,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,3.33,1.35,80 ug/mL,[N+](=O)([O-])c1ccccc1C(=O)N\N=C\c(cc2)ccc2OC(=O)c3ccccc3OC(C)=O,MIC,>32,uM,6.7,>,447.40300000000025,3.5032000000000023,137.20000000000002,1,8,7,3,3,0.19231976710142978,32.0
CO-ADD:0166623,A0507/0023549,CO-ADD:PC0217,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,3.83,0.09,80 ug/mL,C(CNc(cc1)ccc1I)(=O)N\N=C\c(ccc(c2OC)O)c2,MIC,>32,uM,7.9,>,425.2260000000001,2.5676000000000005,82.95,3,5,6,2,2,0.3776594361095782,32.0
CO-ADD:0218495,A0613/0028414,CO-ADD:PC0228,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,33.58,3.38,32 ug/mL,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(=O)N\N=C\c(cc1)ccc1O,MIC,>32,ug/mL,35.75,>,482.1960000000001,4.581100000000003,61.69,2,3,7,1,1,0.3398241083777281,66.36305568689909
CO-ADD:0218396,A0606/0028060,CO-ADD:PC0228,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,-11.51,9.51,32 ug/mL,c1(non2)c2nc(Nc3ccccc3Cl)c(N\N=C\c4ccc(cc4Cl)Cl)n1,MIC,>32,ug/mL,9.4,>,434.67400000000015,5.162600000000001,101.12,2,8,5,4,4,0.33016906730367707,73.61838987379045
CO-ADD:0166479,A0502/0023335,CO-ADD:PC0217,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,0.64,4.77,80 ug/mL,N1(CNc(ccc(c2Cl)Cl)c2)C(=O)\C(\SC1=O)=C/c(cc3)ccc3C(OC)=O,MIC,>32,uM,3.65,>,437.3040000000002,4.885900000000004,75.71000000000001,1,6,5,3,2,0.5306911242980332,32.0
